actv_code_type_id,actv_short_len,seq_num,actv_code_type,proj_id,wbs_id,actv_code_type_scope
1734,7,0,01 project,4680,,AS_Project
1735,7,100,02 type of work,4680,,AS_Project
1736,7,200,03 div of work,4680,,AS_Project
1737,7,300,04 floor,4680,,AS_Project
